MunicipalitiesId,MunicipalitiesName
22,ANDRIJEVICA
23,ALEKSANDROVAC
24,ALEKSINAC
25,ARILJE
26,BABUŠNICA
27,BAJINA BAŠTA
28,BATOČINA
29,BELA PALANKA
30,BARAJEVO
31,VRAČAR
32,GROCKA
33,ZVEZDARA
34,ZEMUN
35,LAZAREVAC
36,MLADENOVAC
37,NOVI BEOGRAD
38,PALILULA
39,RAKOVICA
40,SAVSKI VENAC
41,SOPOT
42,STARI GRAD
43,ČUKARICA
44,BLACE
45,BOGATIĆ
46,BOLJEVAC
47,BOR
48,BOSILEGRAD
49,BRUS
50,BUJANOVAC
51,VARVARIN
52,VELIKA PLANA
53,VELIKO GRADIŠTE
54,VLADIMIRCI
55,VLADIČIN HAN
56,VRANJE
57,VRNJAČKA BANJA
58,GADŽIN HAN
59,GOLUBAC
60,GORNJI MILANOVAC
61,DIMITROVGRAD
62,DOLJEVAC
63,ŽABARI
64,ŽITORAĐA
65,ZAJEČAR
66,KLADOVO
67,KNJAŽEVAC
68,KOCELJEVA
70,KRUPANJ
71,KURŠUMLIJA
72,LAJKOVAC
73,LEBANE
74,LOZNICA
75,LUČANI
76,LJIG
77,MALI ZVORNIK
78,MEDVEĐA
79,MEROŠINA
80,MIONICA
81,NIŠ
82,NOVI PAZAR
83,PARAĆIN
84,PETROVAC
85,POŽAREVAC
86,POŽEGA
87,PRIBOJ
88,PROKUPLJE
89,RAČA
90,RAŠKA
91,JAGODINA
92,SVILAJNAC
93,SVRLJIG
94,SMEDEREVSKA PALANKA
95,SURDULICA
96,UŽICE
97,TOPOLA
98,TRSTENIK
99,TUTIN
100,UB
101,CRNA TRAVA
102,ČAJETINA
103,ČAČAK
104,ŠABAC
105,LAPOVO
106,ADA
107,ALIBUNAR
108,APATIN
109,BAČ
110,BAČKA TOPOLA
111,BAČKI PETROVAC
112,BELA CRKVA
113,BEOČIN
114,BEČEJ
115,ŽABALJ
116,ŽITIŠTE
117,INĐIJA
118,IRIG
119,KANJIŽA
120,KOVAČICA
121,KOVIN
122,KULA
123,NOVA CRNJA
124,NOVI BEČEJ
125,NOVI KNEŽEVAC
126,OPOVO
127,ODŽACI
128,PANČEVO
129,PLANDIŠTE
130,RUMA
131,SENTA
132,SOMBOR
133,SRBOBRAN
134,SREMSKA MITROVICA
135,SREMSKI KARLOVCI
136,STARA PAZOVA
137,SUBOTICA
138,TEMERIN
139,TITEL
140,VRBAS
141,ČOKA
142,ŠID
174,BAČKA PALANKA
175,VRŠAC
176,ZRENJANIN
177,KIKINDA
178,MALI IĐOŠ
179,NOVI SAD
180,PEĆINCI
181,SEČANJ
182,ŽAGUBICA
183,IVANJICA
184,KOSJERIĆ
185,KRALJEVO
186,KUČEVO
187,LESKOVAC
188,LJUBOVIJA
189,MALO CRNIĆE
190,NEGOTIN
191,OSEČINA
192,PIROT
193,PREŠEVO
194,RAŽANJ
195,REKOVAC
196,SJENICA
197,SOKOBANJA
198,TRGOVIŠTE
199,ĆUPRIJA
200,ARANĐELOVAC
201,VOŽDOVAC
202,OBRENOVAC
203,BOJNIK
204,VALJEVO
205,VLASOTINCE
206,DESPOTOVAC
207,KNIĆ
208,KRUŠEVAC
209,MAJDANPEK
210,NOVA VAROŠ
211,PRIJEPOLJE
212,SMEDEREVO
213,ĆIĆEVAC
214,NIŠKA BANJA
215,PETROVARADIN
218,MEDIANA-NIŠ
222,PANTELEJ-NIŠ
223,CRVENI KRST-NIŠ
224,PALILULA-NIŠ
225,SURČIN
226,AERODROM-KG-KRAGUJEVAC
227,PIVARA-KG-KRAGUJEVAC
228,STARI GRAD-KG-KRAGUJEVAC
229,STRAGARI
230,KRAGUJEVAC
231,KOSTOLAC
232,VRANJSKA BANJA
233,SEVOJNO
